step,date_label,profile_time,v_632_A_rms_V,v_632_B_rms_V,v_632_C_rms_V,v_633_A_rms_V,v_633_B_rms_V,v_633_C_rms_V,v_634_A_rms_V,v_634_B_rms_V,v_634_C_rms_V,v_645_B_rms_V,v_645_C_rms_V,v_646_B_rms_V,v_646_C_rms_V,v_652_A_rms_V,v_671_A_rms_V,v_671_B_rms_V,v_671_C_rms_V,v_675_A_rms_V,v_675_B_rms_V,v_675_C_rms_V,v_680_A_rms_V,v_680_B_rms_V,v_680_C_rms_V,v_684_A_rms_V,v_684_C_rms_V,v_692_A_rms_V,v_692_B_rms_V,v_692_C_rms_V,v_611_C_rms_V
1,7-Jan-13,0:30,2460.8935546875,2460.8935546875,2460.8935546875,2459.71630859375,2460.397705078125,2460.288330078125,282.9690856933594,283.4507751464844,283.4039306640625,2457.2109375,2460.039794921875,2456.568115234375,2459.401123046875,2357.62255859375,2360.8271484375,2448.468505859375,2427.2119140625,2357.576904296875,2448.93212890625,2426.06787109375,2360.8271484375,2448.468505859375,2427.212158203125,2360.01904296875,2426.284912109375,2360.8271484375,2448.468505859375,2427.212158203125,2425.27880859375
2,7-Jan-13,1:00,2462.223388671875,2460.8935546875,2460.8935546875,2461.1875,2460.466552734375,2460.283203125,283.08001708984375,283.5124206542969,283.4157409667969,2457.63232421875,2460.097412109375,2457.040771484375,2459.50048828125,2363.85107421875,2367.203125,2449.009033203125,2427.224365234375,2364.109619140625,2449.48779296875,2425.982666015625,2367.203125,2449.009033203125,2427.224365234375,2366.356689453125,2426.276611328125,2367.203125,2449.009033203125,2427.2236328125,2425.246826171875
3,7-Jan-13,1:30,2460.8935546875,2460.8935546875,2460.8935546875,2459.978759765625,2460.562255859375,2460.348876953125,283.18206787109375,283.59814453125,283.4816589355469,2458.1337890625,2460.1494140625,2457.59326171875,2459.619873046875,2377.74560546875,2380.48486328125,2450.551025390625,2430.542724609375,2377.781005859375,2451.02490234375,2429.510498046875,2380.48486328125,2450.551025390625,2430.542724609375,2379.79931640625,2429.6533203125,2380.47705078125,2450.551025390625,2430.542724609375,2428.696044921875
4,7-Jan-13,2:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.076171875,2460.530517578125,2460.34326171875,283.2522277832031,283.5808410644531,283.48236083984375,2458.408203125,2460.074951171875,2457.838134765625,2459.51904296875,2385.4609375,2387.770263671875,2449.85888671875,2432.694091796875,2385.3935546875,2451.50439453125,2431.764892578125,2387.769287109375,2449.85888671875,2432.694091796875,2387.193359375,2431.87646484375,2387.769287109375,2449.85888671875,2432.694091796875,2431.00146484375
5,7-Jan-13,2:30,2460.8935546875,2462.223388671875,2460.8935546875,2460.174072265625,2460.657470703125,2460.32275390625,283.3333740234375,283.83526611328125,283.4835205078125,2458.61474609375,2460.2568359375,2458.15576171875,2459.80078125,2387.824462890625,2390.625,2451.606689453125,2432.910400390625,2388.313232421875,2452.071533203125,2431.890625,2390.650390625,2451.606689453125,2432.910400390625,2389.940185546875,2432.185302734375,2390.650390625,2452.9326171875,2432.910400390625,2431.3916015625
6,7-Jan-13,3:00,2460.8935546875,2462.223388671875,2460.8935546875,2460.1748046875,2460.63330078125,2460.32470703125,283.3323059082031,283.66412353515625,283.4834289550781,2458.6640625,2460.224853515625,2458.189453125,2459.741455078125,2388.974609375,2391.66748046875,2451.261962890625,2433.1337890625,2389.39208984375,2451.690673828125,2432.118896484375,2391.66748046875,2451.261962890625,2433.135498046875,2390.98486328125,2432.407958984375,2391.66748046875,2451.261962890625,2433.135498046875,2431.6142578125
7,7-Jan-13,3:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.173583984375,2460.664306640625,2460.318603515625,283.3333435058594,283.6867980957031,283.48095703125,2458.6728515625,2460.2392578125,2458.206787109375,2459.778076171875,2391.193115234375,2393.90234375,2451.546142578125,2433.56787109375,2391.661376953125,2451.99267578125,2432.544189453125,2393.90234375,2451.546142578125,2433.56787109375,2393.2119140625,2432.886962890625,2393.90234375,2451.546142578125,2433.56787109375,2432.1396484375
8,7-Jan-13,4:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.186279296875,2460.642333984375,2460.306396484375,283.3402404785156,283.6703186035156,283.47113037109375,2458.60498046875,2461.52587890625,2458.111572265625,2459.7021484375,2393.836181640625,2396.046142578125,2451.046875,2434.248291015625,2393.8779296875,2451.428466796875,2433.33203125,2396.046142578125,2451.046875,2434.247802734375,2395.4931640625,2433.531494140625,2396.046142578125,2451.046875,2434.247802734375,2432.7607421875
9,7-Jan-13,4:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.201171875,2460.646484375,2460.283447265625,283.3500061035156,283.6728210449219,283.45513916015625,2458.652587890625,2460.220458984375,2458.1748046875,2459.754150390625,2393.734130859375,2395.8173828125,2450.78125,2434.1064453125,2393.681884765625,2451.166748046875,2433.15625,2395.8173828125,2450.78125,2434.1064453125,2395.296875,2433.3837890625,2395.816650390625,2450.78125,2434.1064453125,2433.923828125
10,7-Jan-13,5:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.1630859375,2460.609375,2460.337890625,283.3228454589844,283.6462707519531,283.4907531738281,2458.619140625,2460.22216796875,2458.140869140625,2459.740234375,2393.666015625,2395.778076171875,2450.54736328125,2435.01904296875,2393.657958984375,2450.864990234375,2434.16015625,2395.77734375,2450.54736328125,2435.01904296875,2395.24462890625,2434.347412109375,2395.77734375,2450.547607421875,2435.01904296875,2434.942138671875
