step,date_label,profile_time,p_634_A_W,p_634_B_W,p_634_C_W,p_645_B_W,p_646_B_W,p_652_A_W,p_671_A_W,p_671_B_W,p_671_C_W,p_675_A_W,p_675_B_W,p_675_C_W,p_692_C_W,p_611_C_W
1,7-Jan-13,0:30,46313.296875,24024.607421875,26288.076171875,50759.27734375,49135.09765625,27685.302734375,96226.3203125,86236.671875,96052.71875,116082.2421875,21291.658203125,62615.046875,34775.7265625,31913.66015625
2,7-Jan-13,1:00,41062.36328125,21070.318359375,25641.189453125,44307.83203125,45324.51171875,29013.427734375,87417.9609375,88301.5,84146.4296875,111730.8359375,20329.83203125,64772.9453125,31855.73828125,32708.57421875
3,7-Jan-13,1:30,36163.6015625,16906.923828125,22392.00390625,36205.15625,41410.49609375,23934.638671875,74641.1875,76381.2265625,73383.8203125,97274.8515625,15285.9052734375,54305.5234375,29831.24609375,30475.837890625
4,7-Jan-13,2:00,32887.578125,17667.087890625,22316.60546875,29893.154296875,43695.85546875,20343.9921875,72820.921875,68754.5078125,71191.3125,86745.0234375,17099.333984375,49373.94921875,27074.587890625,27901.017578125
5,7-Jan-13,2:30,29002.384765625,12844.51171875,22118.548828125,29493.1953125,35162.51953125,24415.884765625,63791.1484375,70355.2421875,62055.4140625,85029.890625,12379.861328125,51010.48828125,25418.173828125,25262.166015625
6,7-Jan-13,3:00,29065.998046875,13685.462890625,22138.4765625,28032.908203125,36373.1484375,23546.1640625,64897.40234375,68923.3046875,63267.7109375,83112.34375,13104.0791015625,50652.4140625,24015.966796875,25276.193359375
7,7-Jan-13,3:30,29000.19140625,12618.8369140625,22236.32421875,28113.7578125,35720.73828125,23686.671875,64168.91796875,66901.8671875,62997.43359375,81876.1484375,12237.8134765625,50536.3515625,22567.53125,23793.69921875
8,7-Jan-13,4:00,28697.564453125,13397.41015625,22705.96875,28554.00390625,37803.20703125,19411.830078125,65209.15234375,63878.7890625,64893.89453125,79121.609375,13008.0517578125,46709.11328125,23661.810546875,24583.955078125
9,7-Jan-13,4:30,28250.79296875,13284.2509765625,23447.791015625,28144.98046875,36604.984375,18387.623046875,66223.375,64679.08984375,63457.57421875,78303.4296875,12904.0185546875,47627.74609375,23331.728515625,24694.8359375
10,7-Jan-13,5:00,29517.43359375,14527.3466796875,21815.064453125,28776.66015625,36645.03515625,18673.6796875,66645.46875,62862.4375,63573.60546875,77605.2890625,14408.486328125,44859.7421875,22665.56640625,23090.654296875
11,7-Jan-13,5:30,35187.13671875,17209.84765625,21647.84765625,32004.248046875,42429.14453125,18593.564453125,74881.9765625,61269.60546875,72922.171875,82449.8046875,15462.853515625,46197.8515625,21739.578125,22348.958984375
12,7-Jan-13,6:00,34082.80859375,20626.234375,20463.599609375,31095.828125,46511.83203125,18761.724609375,75375.59375,62320.234375,76226.921875,84628.796875,15948.9716796875,48085.55859375,23861.859375,24898.056640625
