step,date_label,profile_time,p_634_A_W,p_634_B_W,p_634_C_W,p_645_B_W,p_646_B_W,p_652_A_W,p_671_A_W,p_671_B_W,p_671_C_W,p_675_A_W,p_675_B_W,p_675_C_W,p_692_C_W,p_611_C_W
1,7-Jan-13,0:30,46313.53515625,24061.921875,26332.8203125,50838.203125,49242.28125,27685.62109375,96221.359375,86422.875,96088.7421875,116082.1640625,21324.62890625,62722.21875,34789.4375,31968.310546875
2,7-Jan-13,1:00,41062.2890625,21070.310546875,25641.212890625,44307.9453125,45335.84375,29013.78125,87418.484375,88301.4921875,84124.7890625,111732.2734375,20334.33203125,64772.89453125,31855.8515625,32708.56640625
3,7-Jan-13,1:30,36144.83984375,16906.9453125,22403.806640625,36205.45703125,41410.4140625,23934.720703125,74641.4375,76381.234375,73383.8671875,97275.140625,15290.7626953125,54305.51953125,29831.30078125,30465.76953125
4,7-Jan-13,2:00,32887.53125,17667.080078125,22316.63671875,29893.197265625,43696.09375,20343.982421875,72820.9609375,68754.546875,71191.3828125,86744.9765625,17099.322265625,49363.6796875,27074.640625,27895.20703125
5,7-Jan-13,2:30,29002.3828125,12842.23828125,22118.5390625,29493.33203125,35162.5546875,24428.798828125,63790.85546875,70383.1328125,62055.1484375,85030.6953125,12379.853515625,50999.8515625,25418.234375,25262.19921875
6,7-Jan-13,3:00,29065.84765625,13664.236328125,22100.830078125,27989.22265625,36294.8125,23558.466796875,64865.6171875,68801.953125,63227.32421875,83155.765625,13083.802734375,50565.765625,23994.068359375,25232.943359375
7,7-Jan-13,3:30,29000.189453125,12612.205078125,22236.31640625,28122.728515625,35715.3046875,23686.591796875,64168.84375,66901.859375,62997.2734375,81875.875,12237.8125,50536.31640625,22561.634765625,23793.68359375
8,7-Jan-13,4:00,28712.63671875,13397.4091796875,22694.20703125,28563.029296875,37813.484375,19411.833984375,65208.8203125,63878.79296875,64875.625,79121.625,13005.169921875,46709.109375,23661.79296875,24583.951171875
9,7-Jan-13,4:30,28250.798828125,13284.24609375,23447.994140625,28144.57421875,36605.0546875,18387.615234375,66223.4453125,64679.0625,63457.37890625,78303.390625,12904.025390625,47643.39453125,23331.6796875,24699.98046875
10,7-Jan-13,5:00,29517.470703125,14527.365234375,21815.05078125,28776.84375,36644.77734375,18673.556640625,66645.3359375,62862.4375,63573.43359375,77605.265625,14408.4990234375,44874.51171875,22665.52734375,23095.46875
